,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
200,14,6,"(0, 1, 2, 3, 6, 10)",15,12,"(0, 1, 2, 3, 6, 10)","[0, 11, 10, 9, 6, 2]"
201,13,6,"(0, 1, 2, 3, 6, 9)",14,12,"(0, 1, 2, 3, 6, 9)",non-chiral
202,12,6,"(0, 1, 2, 3, 6, 8)",13,12,"(0, 1, 2, 3, 6, 8)","[0, 11, 10, 9, 6, 4]"
203,11,6,"(0, 1, 2, 3, 6, 7)",12,12,"(0, 1, 2, 3, 6, 7)","[0, 11, 10, 9, 6, 5]"
204,10,6,"(0, 1, 2, 3, 5, 10)",11,12,"(0, 1, 2, 3, 5, 10)",non-chiral
205,9,6,"(0, 1, 2, 3, 5, 9)",10,12,"(0, 1, 2, 3, 5, 9)","[0, 11, 10, 9, 7, 3]"
206,8,6,"(0, 1, 2, 3, 5, 8)",9,12,"(0, 1, 2, 3, 5, 8)","[0, 11, 10, 9, 7, 4]"
207,7,6,"(0, 1, 2, 3, 5, 7)",8,12,"(0, 1, 2, 3, 5, 7)","[0, 11, 10, 9, 7, 5]"
208,6,6,"(0, 1, 2, 3, 5, 6)",7,12,"(0, 1, 2, 3, 5, 6)","[0, 11, 10, 9, 7, 6]"
209,5,6,"(0, 1, 2, 3, 4, 10)",6,12,"(0, 1, 2, 3, 4, 10)","[0, 11, 10, 9, 8, 2]"
210,4,6,"(0, 1, 2, 3, 4, 9)",5,12,"(0, 1, 2, 3, 4, 9)","[0, 11, 10, 9, 8, 3]"
211,3,6,"(0, 1, 2, 3, 4, 8)",4,12,"(0, 1, 2, 3, 4, 8)",non-chiral
212,2,6,"(0, 1, 2, 3, 4, 7)",3,12,"(0, 1, 2, 3, 4, 7)","[0, 11, 10, 9, 8, 5]"
213,1,6,"(0, 1, 2, 3, 4, 6)",2,12,"(0, 1, 2, 3, 4, 6)","[0, 11, 10, 9, 8, 6]"
214,0,6,"(0, 1, 2, 3, 4, 5)",1,12,"(0, 1, 2, 3, 4, 5)",non-chiral
215,65,7,"(0, 1, 3, 5, 6, 8, 10)",66,12,major_scale,non-chiral
216,64,7,"(0, 1, 3, 4, 7, 8, 10)",65,12,harmonic_major_scale,harmonic_minor_scale
217,63,7,"(0, 1, 3, 4, 6, 8, 10)",64,12,altered_scale,non-chiral
218,62,7,"(0, 1, 3, 4, 6, 8, 9)",63,12,harmonic_minor_scale,harmonic_major_scale
219,61,7,"(0, 1, 3, 4, 6, 7, 10)",62,12,"(0, 1, 3, 4, 6, 7, 10)","[0, 11, 9, 8, 6, 5, 2]"
220,60,7,"(0, 1, 3, 4, 6, 7, 9)",61,12,"(0, 1, 3, 4, 6, 7, 9)","[0, 11, 9, 8, 6, 5, 3]"
221,59,7,"(0, 1, 2, 6, 7, 9, 10)",60,12,"(0, 1, 2, 6, 7, 9, 10)","[0, 11, 10, 6, 5, 3, 2]"
222,58,7,"(0, 1, 2, 5, 7, 9, 10)",59,12,"(0, 1, 2, 5, 7, 9, 10)","[0, 11, 10, 7, 5, 3, 2]"
223,57,7,"(0, 1, 2, 5, 7, 8, 10)",58,12,"(0, 1, 2, 5, 7, 8, 10)","[0, 11, 10, 7, 5, 4, 2]"
224,56,7,"(0, 1, 2, 5, 6, 9, 10)",57,12,"(0, 1, 2, 5, 6, 9, 10)","[0, 11, 10, 7, 6, 3, 2]"
225,55,7,"(0, 1, 2, 5, 6, 8, 10)",56,12,"(0, 1, 2, 5, 6, 8, 10)","[0, 11, 10, 7, 6, 4, 2]"
226,54,7,"(0, 1, 2, 5, 6, 8, 9)",55,12,"(0, 1, 2, 5, 6, 8, 9)",non-chiral
227,53,7,"(0, 1, 2, 5, 6, 7, 10)",54,12,"(0, 1, 2, 5, 6, 7, 10)","[0, 11, 10, 7, 6, 5, 2]"
228,52,7,"(0, 1, 2, 4, 7, 9, 10)",53,12,"(0, 1, 2, 4, 7, 9, 10)","[0, 11, 10, 8, 5, 3, 2]"
229,51,7,"(0, 1, 2, 4, 7, 8, 10)",52,12,"(0, 1, 2, 4, 7, 8, 10)","[0, 11, 10, 8, 5, 4, 2]"
230,50,7,"(0, 1, 2, 4, 7, 8, 9)",51,12,"(0, 1, 2, 4, 7, 8, 9)","[0, 11, 10, 8, 5, 4, 3]"
231,49,7,"(0, 1, 2, 4, 6, 9, 10)",50,12,"(0, 1, 2, 4, 6, 9, 10)","[0, 11, 10, 8, 6, 3, 2]"
232,48,7,"(0, 1, 2, 4, 6, 8, 10)",49,12,"(0, 1, 2, 4, 6, 8, 10)",non-chiral
233,47,7,"(0, 1, 2, 4, 6, 8, 9)",48,12,"(0, 1, 2, 4, 6, 8, 9)","[0, 11, 10, 8, 6, 4, 3]"
234,46,7,"(0, 1, 2, 4, 6, 7, 10)",47,12,"(0, 1, 2, 4, 6, 7, 10)","[0, 11, 10, 8, 6, 5, 2]"
235,45,7,"(0, 1, 2, 4, 6, 7, 9)",46,12,"(0, 1, 2, 4, 6, 7, 9)","[0, 11, 10, 8, 6, 5, 3]"
236,44,7,"(0, 1, 2, 4, 6, 7, 8)",45,12,"(0, 1, 2, 4, 6, 7, 8)",non-chiral
237,43,7,"(0, 1, 2, 4, 5, 9, 10)",44,12,"(0, 1, 2, 4, 5, 9, 10)",non-chiral
238,42,7,"(0, 1, 2, 4, 5, 8, 10)",43,12,"(0, 1, 2, 4, 5, 8, 10)","[0, 11, 10, 8, 7, 4, 2]"
239,41,7,"(0, 1, 2, 4, 5, 8, 9)",42,12,"(0, 1, 2, 4, 5, 8, 9)","[0, 11, 10, 8, 7, 4, 3]"
240,40,7,"(0, 1, 2, 4, 5, 7, 10)",41,12,"(0, 1, 2, 4, 5, 7, 10)","[0, 11, 10, 8, 7, 5, 2]"
241,39,7,"(0, 1, 2, 4, 5, 7, 9)",40,12,"(0, 1, 2, 4, 5, 7, 9)","[0, 11, 10, 8, 7, 5, 3]"
242,38,7,"(0, 1, 2, 4, 5, 7, 8)",39,12,"(0, 1, 2, 4, 5, 7, 8)","[0, 11, 10, 8, 7, 5, 4]"
243,37,7,"(0, 1, 2, 4, 5, 6, 10)",38,12,"(0, 1, 2, 4, 5, 6, 10)","[0, 11, 10, 8, 7, 6, 2]"
244,36,7,"(0, 1, 2, 4, 5, 6, 9)",37,12,"(0, 1, 2, 4, 5, 6, 9)",non-chiral
245,35,7,"(0, 1, 2, 4, 5, 6, 8)",36,12,"(0, 1, 2, 4, 5, 6, 8)","[0, 11, 10, 8, 7, 6, 4]"
246,34,7,"(0, 1, 2, 3, 8, 9, 10)",35,12,"(0, 1, 2, 3, 8, 9, 10)","[0, 11, 10, 9, 4, 3, 2]"
247,33,7,"(0, 1, 2, 3, 7, 9, 10)",34,12,"(0, 1, 2, 3, 7, 9, 10)","[0, 11, 10, 9, 5, 3, 2]"
248,32,7,"(0, 1, 2, 3, 7, 8, 10)",33,12,"(0, 1, 2, 3, 7, 8, 10)","[0, 11, 10, 9, 5, 4, 2]"
249,31,7,"(0, 1, 2, 3, 7, 8, 9)",32,12,"(0, 1, 2, 3, 7, 8, 9)","[0, 11, 10, 9, 5, 4, 3]"
250,30,7,"(0, 1, 2, 3, 6, 9, 10)",31,12,"(0, 1, 2, 3, 6, 9, 10)","[0, 11, 10, 9, 6, 3, 2]"
251,29,7,"(0, 1, 2, 3, 6, 8, 10)",30,12,"(0, 1, 2, 3, 6, 8, 10)","[0, 11, 10, 9, 6, 4, 2]"
252,28,7,"(0, 1, 2, 3, 6, 8, 9)",29,12,"(0, 1, 2, 3, 6, 8, 9)","[0, 11, 10, 9, 6, 4, 3]"
253,27,7,"(0, 1, 2, 3, 6, 7, 10)",28,12,"(0, 1, 2, 3, 6, 7, 10)","[0, 11, 10, 9, 6, 5, 2]"
254,26,7,"(0, 1, 2, 3, 6, 7, 9)",27,12,"(0, 1, 2, 3, 6, 7, 9)","[0, 11, 10, 9, 6, 5, 3]"
255,25,7,"(0, 1, 2, 3, 6, 7, 8)",26,12,"(0, 1, 2, 3, 6, 7, 8)","[0, 11, 10, 9, 6, 5, 4]"
256,24,7,"(0, 1, 2, 3, 5, 9, 10)",25,12,"(0, 1, 2, 3, 5, 9, 10)","[0, 11, 10, 9, 7, 3, 2]"
257,23,7,"(0, 1, 2, 3, 5, 8, 10)",24,12,"(0, 1, 2, 3, 5, 8, 10)","[0, 11, 10, 9, 7, 4, 2]"
258,22,7,"(0, 1, 2, 3, 5, 8, 9)",23,12,"(0, 1, 2, 3, 5, 8, 9)","[0, 11, 10, 9, 7, 4, 3]"
259,21,7,"(0, 1, 2, 3, 5, 7, 10)",22,12,"(0, 1, 2, 3, 5, 7, 10)","[0, 11, 10, 9, 7, 5, 2]"
260,20,7,"(0, 1, 2, 3, 5, 7, 9)",21,12,"(0, 1, 2, 3, 5, 7, 9)","[0, 11, 10, 9, 7, 5, 3]"
261,19,7,"(0, 1, 2, 3, 5, 7, 8)",20,12,"(0, 1, 2, 3, 5, 7, 8)","[0, 11, 10, 9, 7, 5, 4]"
262,18,7,"(0, 1, 2, 3, 5, 6, 10)",19,12,"(0, 1, 2, 3, 5, 6, 10)","[0, 11, 10, 9, 7, 6, 2]"
263,17,7,"(0, 1, 2, 3, 5, 6, 9)",18,12,"(0, 1, 2, 3, 5, 6, 9)","[0, 11, 10, 9, 7, 6, 3]"
264,16,7,"(0, 1, 2, 3, 5, 6, 8)",17,12,"(0, 1, 2, 3, 5, 6, 8)","[0, 11, 10, 9, 7, 6, 4]"
265,15,7,"(0, 1, 2, 3, 5, 6, 7)",16,12,"(0, 1, 2, 3, 5, 6, 7)","[0, 11, 10, 9, 7, 6, 5]"
266,14,7,"(0, 1, 2, 3, 4, 9, 10)",15,12,"(0, 1, 2, 3, 4, 9, 10)","[0, 11, 10, 9, 8, 3, 2]"
267,13,7,"(0, 1, 2, 3, 4, 8, 10)",14,12,"(0, 1, 2, 3, 4, 8, 10)","[0, 11, 10, 9, 8, 4, 2]"
268,12,7,"(0, 1, 2, 3, 4, 8, 9)",13,12,"(0, 1, 2, 3, 4, 8, 9)","[0, 11, 10, 9, 8, 4, 3]"
269,11,7,"(0, 1, 2, 3, 4, 7, 10)",12,12,"(0, 1, 2, 3, 4, 7, 10)","[0, 11, 10, 9, 8, 5, 2]"
270,10,7,"(0, 1, 2, 3, 4, 7, 9)",11,12,"(0, 1, 2, 3, 4, 7, 9)",non-chiral
271,9,7,"(0, 1, 2, 3, 4, 7, 8)",10,12,"(0, 1, 2, 3, 4, 7, 8)","[0, 11, 10, 9, 8, 5, 4]"
272,8,7,"(0, 1, 2, 3, 4, 6, 10)",9,12,"(0, 1, 2, 3, 4, 6, 10)",non-chiral
273,7,7,"(0, 1, 2, 3, 4, 6, 9)",8,12,"(0, 1, 2, 3, 4, 6, 9)","[0, 11, 10, 9, 8, 6, 3]"
274,6,7,"(0, 1, 2, 3, 4, 6, 8)",7,12,"(0, 1, 2, 3, 4, 6, 8)","[0, 11, 10, 9, 8, 6, 4]"
275,5,7,"(0, 1, 2, 3, 4, 6, 7)",6,12,"(0, 1, 2, 3, 4, 6, 7)","[0, 11, 10, 9, 8, 6, 5]"
276,4,7,"(0, 1, 2, 3, 4, 5, 10)",5,12,"(0, 1, 2, 3, 4, 5, 10)","[0, 11, 10, 9, 8, 7, 2]"
277,3,7,"(0, 1, 2, 3, 4, 5, 9)",4,12,"(0, 1, 2, 3, 4, 5, 9)","[0, 11, 10, 9, 8, 7, 3]"
278,2,7,"(0, 1, 2, 3, 4, 5, 8)",3,12,"(0, 1, 2, 3, 4, 5, 8)","[0, 11, 10, 9, 8, 7, 4]"
279,1,7,"(0, 1, 2, 3, 4, 5, 7)",2,12,"(0, 1, 2, 3, 4, 5, 7)","[0, 11, 10, 9, 8, 7, 5]"
280,0,7,"(0, 1, 2, 3, 4, 5, 6)",1,12,"(0, 1, 2, 3, 4, 5, 6)",non-chiral
281,42,8,"(0, 1, 3, 4, 6, 7, 9, 10)",43,3,octatonic,non-chiral
282,41,8,"(0, 1, 2, 4, 6, 7, 9, 10)",42,12,"(0, 1, 2, 4, 6, 7, 9, 10)","[0, 11, 10, 8, 6, 5, 3, 2]"
283,40,8,"(0, 1, 2, 4, 6, 7, 8, 10)",41,6,"(0, 1, 2, 4, 6, 7, 8, 10)",non-chiral
284,39,8,"(0, 1, 2, 4, 5, 7, 9, 10)",40,12,bebop_scale,non-chiral
285,38,8,"(0, 1, 2, 4, 5, 7, 8, 10)",39,12,"(0, 1, 2, 4, 5, 7, 8, 10)","[0, 11, 10, 8, 7, 5, 4, 2]"
286,37,8,"(0, 1, 2, 4, 5, 7, 8, 9)",38,12,"(0, 1, 2, 4, 5, 7, 8, 9)",non-chiral
287,36,8,"(0, 1, 2, 4, 5, 6, 9, 10)",37,12,"(0, 1, 2, 4, 5, 6, 9, 10)","[0, 11, 10, 8, 7, 6, 3, 2]"
288,35,8,"(0, 1, 2, 4, 5, 6, 8, 10)",36,12,"(0, 1, 2, 4, 5, 6, 8, 10)",non-chiral
289,34,8,"(0, 1, 2, 4, 5, 6, 8, 9)",35,12,"(0, 1, 2, 4, 5, 6, 8, 9)","[0, 11, 10, 8, 7, 6, 4, 3]"
290,33,8,"(0, 1, 2, 3, 6, 8, 9, 10)",34,12,"(0, 1, 2, 3, 6, 8, 9, 10)","[0, 11, 10, 9, 6, 4, 3, 2]"
291,32,8,"(0, 1, 2, 3, 6, 7, 9, 10)",33,12,"(0, 1, 2, 3, 6, 7, 9, 10)","[0, 11, 10, 9, 6, 5, 3, 2]"
292,31,8,"(0, 1, 2, 3, 6, 7, 8, 10)",32,12,"(0, 1, 2, 3, 6, 7, 8, 10)","[0, 11, 10, 9, 6, 5, 4, 2]"
293,30,8,"(0, 1, 2, 3, 6, 7, 8, 9)",31,6,"(0, 1, 2, 3, 6, 7, 8, 9)",non-chiral
294,29,8,"(0, 1, 2, 3, 5, 8, 9, 10)",30,12,"(0, 1, 2, 3, 5, 8, 9, 10)","[0, 11, 10, 9, 7, 4, 3, 2]"
295,28,8,"(0, 1, 2, 3, 5, 7, 9, 10)",29,12,"(0, 1, 2, 3, 5, 7, 9, 10)","[0, 11, 10, 9, 7, 5, 3, 2]"
296,27,8,"(0, 1, 2, 3, 5, 7, 8, 10)",28,12,"(0, 1, 2, 3, 5, 7, 8, 10)",non-chiral
297,26,8,"(0, 1, 2, 3, 5, 7, 8, 9)",27,12,"(0, 1, 2, 3, 5, 7, 8, 9)","[0, 11, 10, 9, 7, 5, 4, 3]"
298,25,8,"(0, 1, 2, 3, 5, 6, 9, 10)",26,12,"(0, 1, 2, 3, 5, 6, 9, 10)",non-chiral
299,24,8,"(0, 1, 2, 3, 5, 6, 8, 10)",25,12,"(0, 1, 2, 3, 5, 6, 8, 10)","[0, 11, 10, 9, 7, 6, 4, 2]"
300,23,8,"(0, 1, 2, 3, 5, 6, 8, 9)",24,12,"(0, 1, 2, 3, 5, 6, 8, 9)","[0, 11, 10, 9, 7, 6, 4, 3]"
301,22,8,"(0, 1, 2, 3, 5, 6, 7, 10)",23,12,"(0, 1, 2, 3, 5, 6, 7, 10)","[0, 11, 10, 9, 7, 6, 5, 2]"
302,21,8,"(0, 1, 2, 3, 5, 6, 7, 9)",22,12,"(0, 1, 2, 3, 5, 6, 7, 9)","[0, 11, 10, 9, 7, 6, 5, 3]"
303,20,8,"(0, 1, 2, 3, 5, 6, 7, 8)",21,12,"(0, 1, 2, 3, 5, 6, 7, 8)",non-chiral
304,19,8,"(0, 1, 2, 3, 4, 8, 9, 10)",20,12,"(0, 1, 2, 3, 4, 8, 9, 10)","[0, 11, 10, 9, 8, 4, 3, 2]"
305,18,8,"(0, 1, 2, 3, 4, 7, 9, 10)",19,12,"(0, 1, 2, 3, 4, 7, 9, 10)","[0, 11, 10, 9, 8, 5, 3, 2]"
306,17,8,"(0, 1, 2, 3, 4, 7, 8, 10)",18,12,"(0, 1, 2, 3, 4, 7, 8, 10)","[0, 11, 10, 9, 8, 5, 4, 2]"
307,16,8,"(0, 1, 2, 3, 4, 7, 8, 9)",17,12,"(0, 1, 2, 3, 4, 7, 8, 9)",non-chiral
308,15,8,"(0, 1, 2, 3, 4, 6, 9, 10)",16,12,"(0, 1, 2, 3, 4, 6, 9, 10)","[0, 11, 10, 9, 8, 6, 3, 2]"
309,14,8,"(0, 1, 2, 3, 4, 6, 8, 10)",15,12,"(0, 1, 2, 3, 4, 6, 8, 10)",non-chiral
310,13,8,"(0, 1, 2, 3, 4, 6, 8, 9)",14,12,"(0, 1, 2, 3, 4, 6, 8, 9)","[0, 11, 10, 9, 8, 6, 4, 3]"
311,12,8,"(0, 1, 2, 3, 4, 6, 7, 10)",13,12,"(0, 1, 2, 3, 4, 6, 7, 10)","[0, 11, 10, 9, 8, 6, 5, 2]"
312,11,8,"(0, 1, 2, 3, 4, 6, 7, 9)",12,12,"(0, 1, 2, 3, 4, 6, 7, 9)","[0, 11, 10, 9, 8, 6, 5, 3]"
313,10,8,"(0, 1, 2, 3, 4, 6, 7, 8)",11,12,"(0, 1, 2, 3, 4, 6, 7, 8)","[0, 11, 10, 9, 8, 6, 5, 4]"
314,9,8,"(0, 1, 2, 3, 4, 5, 9, 10)",10,12,"(0, 1, 2, 3, 4, 5, 9, 10)","[0, 11, 10, 9, 8, 7, 3, 2]"
315,8,8,"(0, 1, 2, 3, 4, 5, 8, 10)",9,12,"(0, 1, 2, 3, 4, 5, 8, 10)","[0, 11, 10, 9, 8, 7, 4, 2]"
316,7,8,"(0, 1, 2, 3, 4, 5, 8, 9)",8,12,"(0, 1, 2, 3, 4, 5, 8, 9)",non-chiral
317,6,8,"(0, 1, 2, 3, 4, 5, 7, 10)",7,12,"(0, 1, 2, 3, 4, 5, 7, 10)",non-chiral
318,5,8,"(0, 1, 2, 3, 4, 5, 7, 9)",6,12,"(0, 1, 2, 3, 4, 5, 7, 9)","[0, 11, 10, 9, 8, 7, 5, 3]"
319,4,8,"(0, 1, 2, 3, 4, 5, 7, 8)",5,12,"(0, 1, 2, 3, 4, 5, 7, 8)","[0, 11, 10, 9, 8, 7, 5, 4]"
320,3,8,"(0, 1, 2, 3, 4, 5, 6, 10)",4,12,"(0, 1, 2, 3, 4, 5, 6, 10)","[0, 11, 10, 9, 8, 7, 6, 2]"
321,2,8,"(0, 1, 2, 3, 4, 5, 6, 9)",3,12,"(0, 1, 2, 3, 4, 5, 6, 9)",non-chiral
322,1,8,"(0, 1, 2, 3, 4, 5, 6, 8)",2,12,"(0, 1, 2, 3, 4, 5, 6, 8)","[0, 11, 10, 9, 8, 7, 6, 4]"
323,0,8,"(0, 1, 2, 3, 4, 5, 6, 7)",1,12,"(0, 1, 2, 3, 4, 5, 6, 7)",non-chiral
324,18,9,"(0, 1, 2, 4, 5, 6, 8, 9, 10)",19,4,"(0, 1, 2, 4, 5, 6, 8, 9, 10)",non-chiral
325,17,9,"(0, 1, 2, 3, 5, 6, 8, 9, 10)",18,12,"(0, 1, 2, 3, 5, 6, 8, 9, 10)","[0, 11, 10, 9, 7, 6, 4, 3, 2]"
326,16,9,"(0, 1, 2, 3, 5, 6, 7, 9, 10)",17,12,"(0, 1, 2, 3, 5, 6, 7, 9, 10)","[0, 11, 10, 9, 7, 6, 5, 3, 2]"
327,15,9,"(0, 1, 2, 3, 5, 6, 7, 8, 10)",16,12,"(0, 1, 2, 3, 5, 6, 7, 8, 10)",non-chiral
328,14,9,"(0, 1, 2, 3, 4, 7, 8, 9, 10)",15,12,"(0, 1, 2, 3, 4, 7, 8, 9, 10)","[0, 11, 10, 9, 8, 5, 4, 3, 2]"
329,13,9,"(0, 1, 2, 3, 4, 6, 8, 9, 10)",14,12,"(0, 1, 2, 3, 4, 6, 8, 9, 10)","[0, 11, 10, 9, 8, 6, 4, 3, 2]"
330,12,9,"(0, 1, 2, 3, 4, 6, 7, 9, 10)",13,12,"(0, 1, 2, 3, 4, 6, 7, 9, 10)",non-chiral
331,11,9,"(0, 1, 2, 3, 4, 6, 7, 8, 10)",12,12,"(0, 1, 2, 3, 4, 6, 7, 8, 10)","[0, 11, 10, 9, 8, 6, 5, 4, 2]"
332,10,9,"(0, 1, 2, 3, 4, 6, 7, 8, 9)",11,12,"(0, 1, 2, 3, 4, 6, 7, 8, 9)","[0, 11, 10, 9, 8, 6, 5, 4, 3]"
333,9,9,"(0, 1, 2, 3, 4, 5, 8, 9, 10)",10,12,"(0, 1, 2, 3, 4, 5, 8, 9, 10)","[0, 11, 10, 9, 8, 7, 4, 3, 2]"
334,8,9,"(0, 1, 2, 3, 4, 5, 7, 9, 10)",9,12,"(0, 1, 2, 3, 4, 5, 7, 9, 10)","[0, 11, 10, 9, 8, 7, 5, 3, 2]"
335,7,9,"(0, 1, 2, 3, 4, 5, 7, 8, 10)",8,12,"(0, 1, 2, 3, 4, 5, 7, 8, 10)","[0, 11, 10, 9, 8, 7, 5, 4, 2]"
336,6,9,"(0, 1, 2, 3, 4, 5, 7, 8, 9)",7,12,"(0, 1, 2, 3, 4, 5, 7, 8, 9)","[0, 11, 10, 9, 8, 7, 5, 4, 3]"
337,5,9,"(0, 1, 2, 3, 4, 5, 6, 9, 10)",6,12,"(0, 1, 2, 3, 4, 5, 6, 9, 10)","[0, 11, 10, 9, 8, 7, 6, 3, 2]"
338,4,9,"(0, 1, 2, 3, 4, 5, 6, 8, 10)",5,12,"(0, 1, 2, 3, 4, 5, 6, 8, 10)",non-chiral
339,3,9,"(0, 1, 2, 3, 4, 5, 6, 8, 9)",4,12,"(0, 1, 2, 3, 4, 5, 6, 8, 9)","[0, 11, 10, 9, 8, 7, 6, 4, 3]"
340,2,9,"(0, 1, 2, 3, 4, 5, 6, 7, 10)",3,12,"(0, 1, 2, 3, 4, 5, 6, 7, 10)","[0, 11, 10, 9, 8, 7, 6, 5, 2]"
341,1,9,"(0, 1, 2, 3, 4, 5, 6, 7, 9)",2,12,"(0, 1, 2, 3, 4, 5, 6, 7, 9)","[0, 11, 10, 9, 8, 7, 6, 5, 3]"
342,0,9,"(0, 1, 2, 3, 4, 5, 6, 7, 8)",1,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8)",non-chiral
343,5,10,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10)",6,6,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10)",non-chiral
344,4,10,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)",5,12,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)",non-chiral
345,3,10,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10)",4,12,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10)",non-chiral
346,2,10,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10)",3,12,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10)",non-chiral
347,1,10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)",2,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)",non-chiral
348,0,10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",1,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",non-chiral
349,0,11,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",1,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",non-chiral
350,0,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",1,1,chromatic_scale,non-chiral
